press,title,pub_date,url
시사매거진,"광진구, 보호종료아동에게 임차료ㆍ자립정착금 지원",2023.01.26.,https://www.sisamagazine.co.kr/news/articleView.html?idxno=480959
일간스포츠,"“여자친구 연장선 NO!”…비비지, 카리스마 담고 ‘풀업’ 컴백 [종합]",2023.01.31.,https://isplus.com/article/view/isp202301310180
스포츠투데이,"비비지, 여자친구 재결합 질문에 난색 ""셋의 의견이 전체일 수 없어""",2023.01.31.,http://www.stoo.com/article.php?aid=85169998810
연합뉴스,통학 차량은 마스크 착용 계속,2023.01.30.,https://www.yna.co.kr/view/PYH20230130014300013?input=1196m
뉴시스,실내 마스크 의무 착용 해제 수업시간 마스크 벗어요,2023.01.30.,http://www.newsis.com/view/?id=NISI20230130_0019726076
스포츠월드,[SW포토]비비지 신비의 신비로운 눈빛,2023.01.31.,http://www.sportsworldi.com/newsView/20230131513984
MBC연예,"VIVIZ(비비지) ""나이에 딱 맞는 멋…MV로는 귀여운 복수""",2023.01.31.,http://enews.imbc.com/News/RetrieveNewsInfo/372174
시사매거진,"광진구, 보호종료아동에게 임차료ㆍ자립정착금 지원",2023.01.26.,https://www.sisamagazine.co.kr/news/articleView.html?idxno=480959
일간스포츠,"“여자친구 연장선 NO!”…비비지, 카리스마 담고 ‘풀업’ 컴백 [종합]",2023.01.31.,https://isplus.com/article/view/isp202301310180
스포츠투데이,"비비지, 여자친구 재결합 질문에 난색 ""셋의 의견이 전체일 수 없어""",2023.01.31.,http://www.stoo.com/article.php?aid=85169998810
연합뉴스,통학 차량은 마스크 착용 계속,2023.01.30.,https://www.yna.co.kr/view/PYH20230130014400013?input=1196m
뉴시스,실내 마스크 의무 착용 해제 수업시간 마스크 벗어요,2023.01.30.,http://www.newsis.com/view/?id=NISI20230130_0019726076
머니S,"[머니S포토] 컴백 비비지, ""금세 성장…우리만의 색 찾았다는 걸 느껴""",2023.01.31.,http://moneys.mt.co.kr/news/mwView.php?no=2023013117310529688
TV리포트,[T포토] 신비 '음색 여신',2023.01.31.,https://www.tvreport.co.kr/2131157
티브이데일리,[TD포토+] 비비지 '비주얼 성수기~',2023.01.31.,http://www.tvdaily.co.kr/read.php3?aid=16751498911666405017
연합뉴스,통학 차량은 마스크 착용 계속,2023.01.30.,https://www.yna.co.kr/view/PYH20230130014500013?input=1196m
뉴시스,실내 마스크 의무 착용 해제 수업시간 마스크 벗어요,2023.01.30.,http://www.newsis.com/view/?id=NISI20230130_0019726076
머니S,"[머니S포토] 컴백 비비지, ""금세 성장…우리만의 색 찾았다는 걸 느껴""",2023.01.31.,http://moneys.mt.co.kr/news/mwView.php?no=2023013117310529688
TV리포트,[T포토] 신비 '음색 여신',2023.01.31.,https://www.tvreport.co.kr/2131157
티브이데일리,[TD포토+] 비비지 '비주얼 성수기~',2023.01.31.,http://www.tvdaily.co.kr/read.php3?aid=16751498911666405017
스포츠월드,"[SW포토]비비지,'베리어스 컴벡 쇼케이스'",2023.01.31.,http://www.sportsworldi.com/newsView/20230131514401
